age;anciennete_entreprise;salaire_mensuel;distance_domicile_km;nb_promotions_3ans;satisfaction_travail;heures_travail_hebdo;departement;teletravail;attrition
53;12.2;415000;1.2;1;3.8;44.0;Ventes;partiel;0
24;2.7;215 000;5.3;1;3.2;43.0;VENTES;total;0
54;3.9;508 000;29.3;1;3.3;53.0; Ventes; Jamais;1
32;1.3;186000;7.1;0;2.2;42.0; PRODUCTION;partiel;0
56;2.6;563000;6.3;0;3.3;42.0; PRODUCTION;Jamais;0
33;5.6;469 000;6.6;0;3.7;48.0;production; Jamais;0
38;4.3;808 000;2.0;0;3.5;35.0;IT;;0
47;0.2;285000;5.3;0;3.8;42.0;Production;partiel;0
26;0.2;435 000;1.8;0;4.6;40.0;rh;Jamais;0
43;2.4;720000;8.8;1;4.1;42.0;production; Jamais;0
41;6.0;629000;14.8;1;3.3;48.0;RH; PARTIEL;0
51;3.7;346000;2.0;1;2.0;46.0;VENTES;partiel;0
59;0.8;484 000;21.8;0;2.6;39.0;ventes;partiel;1
47;6.5;450 000;17.8;0;3.0;44.0;production;partiel;0
37;13.5;492 000;0.5;1;3.5;52.0; IT;jamais;0
37;1.6;345000;3.6;1;2.7;38.0;it; Jamais;0
37;2.6;437000;1.7;1;2.3;44.0;;Jamais;0
52;2.4;210000;1.4;1;2.0;42.0;IT; PARTIEL;0
34;1.4;470000;14.1;0;1.5;43.0; PRODUCTION;jamais;1
28;1.7;518000;10.1;0;3.0;33.0;VENTES; Jamais;1
34;1.4;416000;5.3;0;1.7;51.0;VENTES;jamais;1
22;0.8;208 000;13.0;0;2.2;38.0;Production;;1
26;0.2;598 000;11.6;1;2.8;49.0;RH;total;1
25;;505000;0.8;0;1.9;39.0;Ventes;partiel;1
51;8.7;341000;0.7;1;3.6;39.0;VENTES;;0
49;1.6;408 000;11.4;0;3.9;50.0;ventes;Partiel;0
48;1.1;225000;0.8;2;;49.0; Ventes;Partiel;0
39;6.2;296 000;15.1;0;2.8;44.0;ventes;jamais;1
49;2.1;369 000;8.3;1;3.7;48.0; Ventes; Jamais;0
28;5.7;634000;10.2;3;2.5;41.0; Finance; PARTIEL;0
56;4.6;354 000;4.3;0;2.4;43.0;Production; Jamais;0
41;4.6;546000;2.5;1;4.4;39.0; PRODUCTION;partiel;0
57;1.5;369000;;0;4.1;48.0;IT;partiel;0
27;3.4;487000;1.0;2;3.8;39.0;IT; PARTIEL;0
40;11.6;429 000;3.4;0;4.1;52.0;;Total;0
48;5.4;581000;9.4;0;1.2;41.0;production; PARTIEL;0
40;4.9;370 000;16.5;0;4.6;43.0;rh; PARTIEL;0
38;2.4;214000;;0;3.6;48.0;VENTES; Jamais;0
28;4.7;243 000;15.8;2;4.2;43.0; IT;Partiel;0
36;2.9;370000;24.4;0;3.6;41.0;rh; PARTIEL;0
31;0.7;263000;21.0;1;3.2;43.0;rh;total;0
33;1.4;512 000;6.3;1;2.9;48.0;Ventes;partiel;0
47;0.7;380 000;15.8;1;3.6;39.0;;Jamais;0
45;4.4;806 000;11.5;0;2.9;42.0;rh;partiel;0
45;0.4;189000;6.1;1;;43.0; RH ;total;0
35;0.4;481000;;0;1.6;48.0; Ventes; PARTIEL;1
58;0.9;281000;1.4;0;2.7;42.0; PRODUCTION;partiel;0
25;1.9;376000;13.9;0;5.0;54.0; Finance;Partiel;0
35;0.7;471 000;0.6;0;2.6;42.0; Ventes; PARTIEL;0
26;5.2;101000;9.2;1;3.0;42.0;rh;Jamais;1
34;3.1;486 000;31.0;0;2.3;42.0;Finance; Jamais;0
58;20.5;735000;11.4;1;3.5;35.0;Production; PARTIEL;0
35;13.7;382 000;6.5;1;2.5;37.0; Ventes;Total;0
56;2.9;489000;3.8;1;3.0;40.0; PRODUCTION; Total ;0
40;2.5;604 000;15.1;1;4.0;50.0; IT; Jamais;0
48;0.5;425 000;0.8;1;2.5;43.0;ventes;jamais;1
39;6.6;363 000;5.4;1;4.0;40.0; Ventes; Jamais;0
32;14.1;109000;11.9;0;4.0;50.0;VENTES;Partiel;0
51;2.6;546000;3.3;0;4.3;52.0;IT;partiel;0
58;6.3;433 000;4.0;0;3.3;51.0;it;total;0
32;0.2;298 000;0.7;0;5.0;38.0; Finance;jamais;0
51;29.5;469 000;1.3;1;4.3;40.0;Ventes; PARTIEL;0
31;0.4;362000;0.5;0;3.5;54.0;; PARTIEL;1
49;6.0;371000;3.4;0;2.3;44.0;ventes;jamais;0
51;0.2;541000;5.9;0;3.1;41.0; RH ;total;0
39;1.4;249000;3.2;0;4.6;47.0;Production;partiel;1
50;1.6;607 000;2.8;1;4.9;49.0; PRODUCTION;Jamais;0
32;4.2;240 000;9.2;1;4.7;40.0;Finance;jamais;0
25;0.3;351000;22.1;0;;44.0;finance;Total;1
25;1.8;738000;6.0;1;1.9;49.0; Ventes; PARTIEL;0
38;1.0;619 000;6.3;0;3.7;36.0;Ventes; PARTIEL;0
56;0.5;465000;2.7;3;2.0;43.0; IT; PARTIEL;0
26;6.7;309 000;3.7;3;1.7;36.0; Ventes; Jamais;0
39;1.9;371 000;3.3;0;;37.0; IT;partiel;0
48;0.4;461 000;24.5;0;3.7;40.0;ventes;total;0
29;2.3;456000;9.9;0;4.1;46.0;production;jamais;0
49;0.8;436000;12.3;1;3.7;41.0; PRODUCTION;partiel;0
33;0.2;445000;1.7;0;3.7;39.0;Production;Jamais;1
52;0.4;418000;13.8;0;2.2;43.0;finance;;0
44;4.8;234000;4.7;0;3.1;36.0;ventes;jamais;0
42;0.2;373 000;1.2;0;1.7;46.0;ventes; Total ;0
28;1.9;587000;8.2;0;1.2;50.0;finance;Jamais;1
39;2.8;245 000;1.3;0;3.9;43.0; Finance;jamais;0
54;1.2;422000;4.8;1;2.4;42.0;IT;partiel;0
22;3.2;327 000;1.1;0;4.1;45.0; IT; Jamais;0
50;7.3;467 000;6.3;0;4.3;32.0; IT;partiel;0
40;2.5;392000;1.8;0;;46.0;Ventes;Total;1
49;2.3;672 000;1.9;0;3.8;62.0; IT;jamais;0
47;0.6;526 000;1.3;0;2.5;42.0;IT;;0
38;2.5;253000;0.5;0;1.4;42.0;Finance;Total;1
33;9.3;551000;1.1;0;3.3;47.0;production;jamais;0
45;2.3;334 000;11.9;1;2.7;53.0; RH ;Jamais;0
27;2.9;363 000;3.8;0;2.8;49.0; Finance; Total ;0
44;11.5;497 000;14.3;1;5.0;32.0;production;Total;0
25;;376000;21.4;0;;46.0;VENTES;partiel;1
46;0.2;584000;23.2;0;3.6;58.0;Finance; PARTIEL;0
45;;334 000;0.6;0;2.2;47.0; IT; Total ;1
25;2.8;357000;6.3;0;4.1;36.0;rh;Partiel;0
50;0.6;352000;0.9;3;3.5;45.0;Ventes;Partiel;0
37;0.4;365000;17.0;0;3.6;35.0;Production;Partiel;0
51;2.7;615 000;12.1;0;2.3;50.0;Production;;1
23;6.3;544000;3.6;0;2.4;37.0;Ventes; PARTIEL;0
28;0.2;706000;3.9;0;4.1;43.0;;;0
40;0.3;790 000;6.5;0;5.0;38.0;VENTES;Partiel;0
29;0.4;295 000;9.4;0;3.7;40.0;Production;partiel;0
34;0.7;461 000;14.9;0;2.3;52.0;rh; Jamais;1
47;4.0;274 000;0.9;0;3.5;44.0;VENTES;jamais;0
27;0.2;333000;6.6;1;5.0;40.0;Production;partiel;0
47;7.6;355000;3.8;1;3.3;36.0; IT; Jamais;0
25;10.1;291 000;2.6;0;4.7;32.0;it; Jamais;0
28;20.0;292000;9.8;0;2.5;;IT;jamais;0
44;0.2;428 000;4.1;0;3.2;44.0; RH ;jamais;1
52;0.9;267000;11.3;0;3.8;49.0;it;partiel;1
28;2.9;576 000;14.0;0;3.6;40.0;ventes;Jamais;0
33;0.3;312000;3.8;1;2.4;; IT;jamais;1
57;16.5;871000;0.5;0;2.4;39.0;; PARTIEL;0
-5;13.4;382000;28.2;1;4.2;42.0; RH ;Jamais;0
44;2.7;461000;9.8;1;4.4;37.0; PRODUCTION; Jamais;0
38;8.0;256 000;18.2;0;4.7;49.0;RH;partiel;1
35;8.3;706000;0.8;0;5.0;56.0;production;partiel;0
45;3.0;618000;1.1;0;3.3;32.0;IT;Partiel;0
44;2.0;495 000;0.5;1;2.9;41.0; PRODUCTION; PARTIEL;0
33;8.0;248000;2.0;0;4.6;51.0;VENTES;Total;0
22;2.4;482 000;0.5;0;3.9;34.0; Ventes;jamais;0
27;9.9;282 000;16.8;3;2.2;46.0; Ventes;Partiel;1
58;4.0;669000;;1;2.2;50.0;VENTES;;0
37;2.7;571 000;12.8;1;0.0;43.0;Production;Jamais;0
40;2.0;464 000;14.3;0;3.0;46.0;production; Total ;1
39;1.4;90 000;14.2;1;3.2;54.0; PRODUCTION;jamais;0
51;0.9;302000;5.3;0;4.3;55.0;Ventes;Total;1
24;0.2;553000;;0;4.0;43.0; PRODUCTION; PARTIEL;1
25;1.2;632 000;17.7;0;4.5;40.0;Finance; PARTIEL;0
32;0.2;616000;25.6;1;1.3;37.0; IT;Jamais;0
40;1.0;211000;7.1;1;3.5;49.0;rh;;0
47;13.2;495000;16.3;1;3.9;35.0;; PARTIEL;0
40;9.9;602000;4.9;1;1.7;41.0;VENTES; Jamais;0
38;9.6;201000;10.6;0;2.5;44.0;rh;jamais;0
57;1.6;449 000;9.6;0;2.4;40.0; Finance;Partiel;0
28;11.9;491 000;0.6;0;3.2;45.0;ventes;jamais;0
43;4.6;405000;1.8;0;4.8;58.0;it; PARTIEL;0
42;0.2;172 000;12.4;2;5.0;42.0; RH ;partiel;0
39;1.0;401 000;0.5;0;2.4;40.0;Finance;jamais;0
52;4.3;401 000;11.7;0;3.7;49.0;production; PARTIEL;0
32;0.7;428 000;7.1;2;3.8;44.0;;jamais;0
58;0.5;365000;37.6;1;3.6;52.0;finance;;1
34;5.7;384 000;0.5;2;3.6;44.0; RH ; Total ;0
42;0.2;444000;5.8;0;3.5;42.0;;jamais;0
41;0.2;516000;25.4;1;4.9;32.0;rh;partiel;0
54;7.8;404 000;0.5;1;4.3;33.0;ventes;partiel;0
38;1.4;389 000;8.5;2;2.1;32.0; Finance; Total ;0
32;10.8;464 000;3.5;0;4.0;45.0;Finance; Jamais;0
22;6.2;162000;2.3;1;4.1;35.0;RH; PARTIEL;0
35;;522 000;;0;3.5;51.0;Production; Total ;1
53;;450000;5.0;0;4.3;43.0;finance;Jamais;0
22;0.7;456 000;6.8;0;3.4;42.0;it; PARTIEL;0
56;0.3;594 000;0.5;1;3.4;38.0;VENTES; Jamais;0
42;5.7;157 000;6.3;0;3.3;;ventes;Partiel;1
27;0.4;154 000;0.6;0;1.2;38.0;IT;jamais;1
33;0.8;491 000;5.3;0;3.1;37.0; IT; Total ;0
43;3.1;449000;0.7;0;2.5;50.0;Ventes;jamais;0
33;;476 000;8.8;1;2.0;45.0;ventes; Jamais;0
26;4.3;381000;1.5;0;4.6;42.0; Ventes;partiel;0
47;0.3;550000;0.5;1;3.7;47.0;Production;Partiel;0
47;0.8;590000;13.6;1;3.2;43.0;production;Partiel;0
26;0.3;523000;2.0;0;2.6;45.0;it; PARTIEL;1
32;9.3;411 000;0.5;0;3.5;38.0;VENTES; Jamais;0
31;14.3;134000;9.6;2;4.2;55.0;ventes;partiel;0
47;5.3;565 000;6.0;0;2.4;40.0;VENTES;jamais;0
49;4.7;633000;7.6;0;3.2;52.0;it;jamais;1
49;1.2;547 000;16.4;1;4.1;42.0; Ventes; Total ;0
57;4.5;318000;1.6;2;1.3;48.0;IT; PARTIEL;1
51;4.7;551000;2.3;1;3.1;47.0;Production; Jamais;0
34;5.7;579000;11.0;0;2.8;50.0; RH ;;1
26;6.4;684 000;;1;3.1;38.0;; Total ;0
45;6.6;319000;;1;2.7;49.0;ventes;jamais;0
56;0.2;416000;13.4;1;3.3;54.0;;Jamais;0
59;4.7;562 000;3.5;0;5.0;41.0;Production;jamais;0
30;3.9;459 000;3.3;2;2.9;43.0;it; Jamais;0
30;8.2;282 000;23.4;1;3.5;40.0; Finance;jamais;0
23;0.5;512 000;0.5;1;5.0;41.0; PRODUCTION;Total;0
27;4.5;537000;24.0;0;2.6;53.0;; Jamais;1
43;2.6;463 000;3.2;0;5.0;37.0;it;;0
42;2.6;483000;26.2;3;3.2;37.0;RH;partiel;0
36;0.7;411000;1.1;1;5.0;53.0;;partiel;0
33;5.8;672000;6.9;0;4.0;47.0; Ventes;Partiel;0
53;2.8;315000;10.7;0;0.0;56.0; Ventes;;1
39;0.4;362000;11.1;2;3.1;40.0;Production;Partiel;0
52;29.9;452000;0.8;1;2.6;44.0; Finance;partiel;0
58;3.7;582 000;0.7;0;3.3;39.0; IT;partiel;0
34;2.0;225000;7.7;0;4.1;44.0;Ventes;Partiel;0
29;13.0;253000;0.8;0;;32.0; Finance;partiel;0
58;7.5;144 000;12.9;0;2.9;47.0;production; Jamais;0
46;6.2;455000;15.0;2;2.9;45.0;it; PARTIEL;0
33;0.3;282000;1.2;0;4.2;43.0; IT;partiel;0
45;4.5;392 000;11.7;0;4.4;41.0;Production;Jamais;0
41;8.7;549000;;0;2.5;38.0;Production; Total ;0
56;2.7;354000;25.1;0;2.5;47.0; PRODUCTION;Jamais;1
31;5.8;485 000;5.9;0;3.6;36.0;it;;0
59;1.3;405 000;10.5;0;;46.0;Ventes;total;0
57;0.6;551 000;10.4;0;4.3;55.0; IT;jamais;0
28;8.7;521000;8.6;1;1.9;52.0;IT;jamais;0
28;2.2;346 000;7.1;0;2.9;34.0; PRODUCTION;jamais;0
42;2.9;425000;0.5;0;2.3;40.0;;Total;0
23;1.4;607000;16.1;0;2.9;46.0;finance;jamais;0
33;2.8;509000;7.4;0;4.8;43.0;production;partiel;0
38;1.4;240 000;2.3;0;;35.0; PRODUCTION; PARTIEL;0
58;0.2;548 000;3.4;1;1.6;45.0;finance;partiel;0
59;8.0;287 000;3.6;1;2.4;43.0; PRODUCTION; Total ;0
27;0.7;662 000;0.5;0;3.5;;Ventes;Partiel;0
55;1.5;604 000;1.7;0;3.8;41.0;it;Jamais;0
25;7.8;493 000;0.5;0;3.6;50.0;VENTES;Total;0
50;4.4;474 000;7.2;0;4.4;35.0;Production; PARTIEL;0
54;3.5;419000;4.3;1;1.4;37.0; PRODUCTION;Jamais;0
55;8.7;552 000;25.6;1;4.4;47.0;VENTES;Jam ais;0
30;0.7;394 000;2.2;0;2.9;50.0; Ventes;;1
55;2.7;485000;6.9;0;3.9;37.0;IT;jamais;0
26;2.5;581000;0.6;0;1.9;43.0;VENTES;partiel;0
41;14.0;366000;2.9;0;3.2;35.0; PRODU CTION; Jamais;0
39;6.9;358000;7.6;3;3.4;42.0;ventes; PARTIEL;0
34;0.9;271 000;24.2;1;4.4;48.0;production; Jamais;1
22;0.7;290000;26.2;2;1.6;40.0;RH;partiel;0
51;1.9;176000;0.5;2;3.2;42.0;it;jamais;0
34;0.9;559000;7.8;1;;36.0;Ventes;Jamais;0
47;;721000;2.0;2;3.7;39.0;production;jamais;0
37;0.5;664 000;16.7;0;4.0;54.0;finance; Jamais;1
36;3.6;206 000;10.7;0;4.5;;it;Partiel;0
55;0.9;559000;1.9;0;2.7;37.0; IT; PARTIEL;0
25;;663000;3.9;0;4.1;41.0; PRODUCTION;Jamais;0
49;16.0;381 000;0.5;1;4.6;33.0;Production;Total;0
50;6.8;465 000;4.2;1;1.6;37.0;Production;jamais;0
36;8.6;149 000;6.3;0;3.8;51.0;Finance;Jamais;0
31;0.3;490 000;5.2;0;4.2;42.0; PRODUCTION; PARTIEL;0
22;1.2;290 000;10.4;1;2.9;54.0;IT;partiel;1
57;1.9;480000;1.2;0;2.0;42.0;Finance;partiel;0
58;7.0;216 000;14.1;0;4.1;43.0;IT;jamais;0
31;3.8;531 000;3.8;1;2.0;47.0; RH ;Jamais;0
23;0.2;604 000;3.9;1;3.0;;production; PARTIEL;0
26;1.3;333000;2.8;1;3.2;44.0; PRODUCTION; Jamais;0
24;6.8;279000;12.1;0;3.9;43.0;RH;Jamais;0
53;22.7;127000;4.1;0;2.6;52.0;rh;Total;0
55;1.7;410000;3.0;0;;49.0;production;Partiel;0
27;2.5;363000;8.0;1;3.3;36.0;Production;Jamais;1
50;3.7;217000;8.1;0;4.2;50.0; PRODUCTION;jamais;0
28;2.5;518000;3.2;0;;41.0;VENTES; PARTIEL;0
35;6.7;383 000;15.4;1;1.7;38.0;IT;jamais;1
44;8.9;289000;3.8;1;3.5;44.0; PRODUCTION;Jamais;0
49;0.8;367 000;10.4;2;2.1;42.0;production;Jamais;1
55;3.2;611000;2.8;0;4.2;52.0;finance;partiel;0
23;0.4;540 000;12.2;0;2.3;45.0; Finance;Partiel;0
29;0.7;430 000;11.8;0;2.5;44.0;it;jamais;1
32;2.5;543 000;10.1;0;2.6;48.0;IT;Jamais;0
33;1.5;276000;12.8;1;3.1;50.0; PRODUCTION;Partiel;1
59;0.4;455000;6.9;0;3.5;48.0; IT;partiel;0
51;3.0;472 000;1.6;1;3.7;52.0;Finance;Partiel;0
34;5.4;380000;5.7;1;3.2;47.0; Finance;jamais;0
58;5.2;515 000;1.9;2;1.9;44.0;production;Partiel;0
40;1.5;333000;7.7;0;3.9;50.0;IT;Total;0
41;;526 000;0.9;0;3.1;42.0;finance;partiel;0
38;0.9;533 000;6.7;1;4.4;43.0;VENTES;Jamais;0
27;;90000;1.3;1;2.5;53.0;Ventes; PARTIEL;0
57;1.6;629000;7.1;1;1.6;53.0; IT; Jamais;1
22;11.4;90000;32.8;0;;43.0;VENTES;jamais;0
28;2.1;358000;9.2;1;4.5;40.0; PRODUCTION;Jamais;0
30;3.5;604000;2.9;1;3.4;52.0;Production;total;0
32;3.1;402 000;2.2;0;3.0;48.0;ventes;jamais;1
27;5.5;230 000;4.3;1;2.3;45.0; PRODUCTION;total;0
22;11.7;286000;5.7;0;5.0;41.0;rh; PARTIEL;0
